query,query_type
how much money does a new Sonographer make?,numeric
how to make a grave headstone,description
average price of a translation page,numeric
custom cabinet cost per foot,numeric
what does the winner of the masters win in prize money,person
is beer a good source of fiber,description
can phd use dr title,description
what is the purpose of the orbital muscles,description
how to calculate net present value,description
chimney repair cost guide,numeric
Delete Recent History,description
what is muscle tightening,description
how glycogen is synthesized,description
how to get from miami to orlando by train,description
what is music symbol called,description
why did the tower of london close,description
gestalt theory definition,description
how much should i pay for electricity,numeric
